LAMMPS Description

     648  atoms
     432  bonds
     216  angles
     0  dihedrals
     0  impropers

     2  atom types
     3  bond types
     3  angle types
     5  dihedral types

  0.0 36.0 xlo xhi
  0.0 36.0 ylo yhi
  0.0 36.0 zlo zhi

Masses

    1 15.035 #C3 "N-Alkane CH3- (UA)" 6 partial charge=0.0
    2 14.027 #C2 "Alkanes -CH2- (UA)" 6 partial charge=0.0

Atoms # full

133 45 1 0.0 13.252 7.985 8.024
134 45 2 0.0 14.558 8.42 7.7219999999999995
135 45 1 0.0 14.716 9.404 8.137
136 46 1 0.0 19.252 7.985 8.024
137 46 2 0.0 20.558 8.42 7.7219999999999995
138 46 1 0.0 20.716 9.404 8.137
139 47 1 0.0 25.252 7.985 8.024
140 47 2 0.0 26.558 8.42 7.7219999999999995
141 47 1 0.0 26.716 9.404 8.137
142 48 1 0.0 31.252 7.985 8.024
143 48 2 0.0 32.558 8.42 7.7219999999999995
144 48 1 0.0 32.716 9.404 8.137
145 49 1 0.0 1.252 13.985 8.024
146 49 2 0.0 2.558 14.42 7.7219999999999995
147 49 1 0.0 2.716 15.404 8.137
148 50 1 0.0 7.252 13.985 8.024
149 50 2 0.0 8.558 14.42 7.7219999999999995
150 50 1 0.0 8.716 15.404 8.137
151 51 1 0.0 13.252 13.985 8.024
152 51 2 0.0 14.558 14.42 7.7219999999999995
153 51 1 0.0 14.716 15.404 8.137
154 52 1 0.0 19.252 13.985 8.024
155 52 2 0.0 20.558 14.42 7.7219999999999995
156 52 1 0.0 20.716 15.404 8.137
157 53 1 0.0 25.252 13.985 8.024
158 53 2 0.0 26.558 14.42 7.7219999999999995
159 53 1 0.0 26.716 15.404 8.137
160 54 1 0.0 31.252 13.985 8.024
161 54 2 0.0 32.558 14.42 7.7219999999999995
162 54 1 0.0 32.716 15.404 8.137
163 55 1 0.0 1.252 19.985 8.024
164 55 2 0.0 2.558 20.42 7.7219999999999995
165 55 1 0.0 2.716 21.404 8.137
166 56 1 0.0 7.252 19.985 8.024
167 56 2 0.0 8.558 20.42 7.7219999999999995
168 56 1 0.0 8.716 21.404 8.137
169 57 1 0.0 13.252 19.985 8.024
170 57 2 0.0 14.558 20.42 7.7219999999999995
171 57 1 0.0 14.716 21.404 8.137
172 58 1 0.0 19.252 19.985 8.024
173 58 2 0.0 20.558 20.42 7.7219999999999995
174 58 1 0.0 20.716 21.404 8.137
175 59 1 0.0 25.252 19.985 8.024
176 59 2 0.0 26.558 20.42 7.7219999999999995
177 59 1 0.0 26.716 21.404 8.137
178 60 1 0.0 31.252 19.985 8.024
179 60 2 0.0 32.558 20.42 7.7219999999999995
180 60 1 0.0 32.716 21.404 8.137
181 61 1 0.0 1.252 25.985 8.024
182 61 2 0.0 2.558 26.42 7.7219999999999995
183 61 1 0.0 2.716 27.404 8.137
184 62 1 0.0 7.252 25.985 8.024
185 62 2 0.0 8.558 26.42 7.7219999999999995
186 62 1 0.0 8.716 27.404 8.137
187 63 1 0.0 13.252 25.985 8.024
188 63 2 0.0 14.558 26.42 7.7219999999999995
189 63 1 0.0 14.716 27.404 8.137
190 64 1 0.0 19.252 25.985 8.024
191 64 2 0.0 20.558 26.42 7.7219999999999995
192 64 1 0.0 20.716 27.404 8.137
193 65 1 0.0 25.252 25.985 8.024
194 65 2 0.0 26.558 26.42 7.7219999999999995
195 65 1 0.0 26.716 27.404 8.137
196 66 1 0.0 31.252 25.985 8.024
197 66 2 0.0 32.558 26.42 7.7219999999999995
198 66 1 0.0 32.716 27.404 8.137
199 67 1 0.0 1.252 31.985 8.024
200 67 2 0.0 2.558 32.42 7.7219999999999995
201 67 1 0.0 2.716 33.403999999999996 8.137
202 68 1 0.0 7.252 31.985 8.024
203 68 2 0.0 8.558 32.42 7.7219999999999995
204 68 1 0.0 8.716 33.403999999999996 8.137
205 69 1 0.0 13.252 31.985 8.024
206 69 2 0.0 14.558 32.42 7.7219999999999995
207 69 1 0.0 14.716 33.403999999999996 8.137
208 70 1 0.0 19.252 31.985 8.024
209 70 2 0.0 20.558 32.42 7.7219999999999995
210 70 1 0.0 20.716 33.403999999999996 8.137
211 71 1 0.0 25.252 31.985 8.024
212 71 2 0.0 26.558 32.42 7.7219999999999995
213 71 1 0.0 26.716 33.403999999999996 8.137
214 72 1 0.0 31.252 31.985 8.024
215 72 2 0.0 32.558 32.42 7.7219999999999995
216 72 1 0.0 32.716 33.403999999999996 8.137
217 73 1 0.0 1.252 1.985 14.024
218 73 2 0.0 2.558 2.42 13.722
219 73 1 0.0 2.716 3.404 14.137
220 74 1 0.0 7.252 1.985 14.024
221 74 2 0.0 8.558 2.42 13.722
222 74 1 0.0 8.716 3.404 14.137
223 75 1 0.0 13.252 1.985 14.024
224 75 2 0.0 14.558 2.42 13.722
225 75 1 0.0 14.716 3.404 14.137
226 76 1 0.0 19.252 1.985 14.024
227 76 2 0.0 20.558 2.42 13.722
228 76 1 0.0 20.716 3.404 14.137
229 77 1 0.0 25.252 1.985 14.024
230 77 2 0.0 26.558 2.42 13.722
231 77 1 0.0 26.716 3.404 14.137
232 78 1 0.0 31.252 1.985 14.024
233 78 2 0.0 32.558 2.42 13.722
234 78 1 0.0 32.716 3.404 14.137
235 79 1 0.0 1.252 7.985 14.024
236 79 2 0.0 2.558 8.42 13.722
237 79 1 0.0 2.716 9.404 14.137
238 80 1 0.0 7.252 7.985 14.024
239 80 2 0.0 8.558 8.42 13.722
240 80 1 0.0 8.716 9.404 14.137
241 81 1 0.0 13.252 7.985 14.024
242 81 2 0.0 14.558 8.42 13.722
243 81 1 0.0 14.716 9.404 14.137
244 82 1 0.0 19.252 7.985 14.024
245 82 2 0.0 20.558 8.42 13.722
246 82 1 0.0 20.716 9.404 14.137
247 83 1 0.0 25.252 7.985 14.024
248 83 2 0.0 26.558 8.42 13.722
249 83 1 0.0 26.716 9.404 14.137
250 84 1 0.0 31.252 7.985 14.024
251 84 2 0.0 32.558 8.42 13.722
252 84 1 0.0 32.716 9.404 14.137
253 85 1 0.0 1.252 13.985 14.024
254 85 2 0.0 2.558 14.42 13.722
255 85 1 0.0 2.716 15.404 14.137
256 86 1 0.0 7.252 13.985 14.024
257 86 2 0.0 8.558 14.42 13.722
258 86 1 0.0 8.716 15.404 14.137
259 87 1 0.0 13.252 13.985 14.024
260 87 2 0.0 14.558 14.42 13.722
261 87 1 0.0 14.716 15.404 14.137
262 88 1 0.0 19.252 13.985 14.024
263 88 2 0.0 20.558 14.42 13.722
264 88 1 0.0 20.716 15.404 14.137
265 89 1 0.0 25.252 13.985 14.024
266 89 2 0.0 26.558 14.42 13.722
267 89 1 0.0 26.716 15.404 14.137
268 90 1 0.0 31.252 13.985 14.024
269 90 2 0.0 32.558 14.42 13.722
270 90 1 0.0 32.716 15.404 14.137
