LAMMPS Description

     648  atoms
     432  bonds
     216  angles
     0  dihedrals
     0  impropers

     3  atom types
     3  bond types
     1  angle types

  0.0 26.6 xlo xhi
  0.0 26.6 ylo yhi
  0.0 26.6 zlo zhi

Masses

    1 15.999 #OH "Alcohol OH (UA)" 8 partial charge=-0.7
    2 1.008 #HO "Alcohol OH (UA)" 1 partial charge=0.435
    3 15.035 #C3 "Methanol CH3- (UA)" 6 partial charge=0.265

Atoms # full

122 41 1 0.0 20.278 2.42 6.151999999999999
123 41 2 0.0 20.436 3.404 6.567
124 42 3 0.0 23.401999999999997 1.985 6.454
125 42 1 0.0 24.708 2.42 6.151999999999999
126 42 2 0.0 24.866 3.404 6.567
127 43 3 0.0 1.252 6.415 6.454
128 43 1 0.0 2.558 6.85 6.151999999999999
129 43 2 0.0 2.716 7.834 6.567
130 44 3 0.0 5.6819999999999995 6.415 6.454
131 44 1 0.0 6.9879999999999995 6.85 6.151999999999999
132 44 2 0.0 7.146 7.834 6.567
133 45 3 0.0 10.112 6.415 6.454
134 45 1 0.0 11.418 6.85 6.151999999999999
135 45 2 0.0 11.575999999999999 7.834 6.567
136 46 3 0.0 14.542 6.415 6.454
137 46 1 0.0 15.847999999999999 6.85 6.151999999999999
138 46 2 0.0 16.006 7.834 6.567
139 47 3 0.0 18.971999999999998 6.415 6.454
140 47 1 0.0 20.278 6.85 6.151999999999999
141 47 2 0.0 20.436 7.834 6.567
142 48 3 0.0 23.401999999999997 6.415 6.454
143 48 1 0.0 24.708 6.85 6.151999999999999
144 48 2 0.0 24.866 7.834 6.567
145 49 3 0.0 1.252 10.844999999999999 6.454
146 49 1 0.0 2.558 11.28 6.151999999999999
147 49 2 0.0 2.716 12.264 6.567
148 50 3 0.0 5.6819999999999995 10.844999999999999 6.454
149 50 1 0.0 6.9879999999999995 11.28 6.151999999999999
150 50 2 0.0 7.146 12.264 6.567
151 51 3 0.0 10.112 10.844999999999999 6.454
152 51 1 0.0 11.418 11.28 6.151999999999999
153 51 2 0.0 11.575999999999999 12.264 6.567
154 52 3 0.0 14.542 10.844999999999999 6.454
155 52 1 0.0 15.847999999999999 11.28 6.151999999999999
156 52 2 0.0 16.006 12.264 6.567
157 53 3 0.0 18.971999999999998 10.844999999999999 6.454
158 53 1 0.0 20.278 11.28 6.151999999999999
159 53 2 0.0 20.436 12.264 6.567
160 54 3 0.0 23.401999999999997 10.844999999999999 6.454
161 54 1 0.0 24.708 11.28 6.151999999999999
162 54 2 0.0 24.866 12.264 6.567
163 55 3 0.0 1.252 15.274999999999999 6.454
164 55 1 0.0 2.558 15.709999999999999 6.151999999999999
165 55 2 0.0 2.716 16.694 6.567
166 56 3 0.0 5.6819999999999995 15.274999999999999 6.454
167 56 1 0.0 6.9879999999999995 15.709999999999999 6.151999999999999
168 56 2 0.0 7.146 16.694 6.567
169 57 3 0.0 10.112 15.274999999999999 6.454
170 57 1 0.0 11.418 15.709999999999999 6.151999999999999
171 57 2 0.0 11.575999999999999 16.694 6.567
172 58 3 0.0 14.542 15.274999999999999 6.454
173 58 1 0.0 15.847999999999999 15.709999999999999 6.151999999999999
174 58 2 0.0 16.006 16.694 6.567
175 59 3 0.0 18.971999999999998 15.274999999999999 6.454
176 59 1 0.0 20.278 15.709999999999999 6.151999999999999
177 59 2 0.0 20.436 16.694 6.567
178 60 3 0.0 23.401999999999997 15.274999999999999 6.454
179 60 1 0.0 24.708 15.709999999999999 6.151999999999999
180 60 2 0.0 24.866 16.694 6.567
181 61 3 0.0 1.252 19.705 6.454
182 61 1 0.0 2.558 20.14 6.151999999999999
183 61 2 0.0 2.716 21.124 6.567
184 62 3 0.0 5.6819999999999995 19.705 6.454
185 62 1 0.0 6.9879999999999995 20.14 6.151999999999999
186 62 2 0.0 7.146 21.124 6.567
187 63 3 0.0 10.112 19.705 6.454
188 63 1 0.0 11.418 20.14 6.151999999999999
189 63 2 0.0 11.575999999999999 21.124 6.567
190 64 3 0.0 14.542 19.705 6.454
191 64 1 0.0 15.847999999999999 20.14 6.151999999999999
192 64 2 0.0 16.006 21.124 6.567
193 65 3 0.0 18.971999999999998 19.705 6.454
194 65 1 0.0 20.278 20.14 6.151999999999999
195 65 2 0.0 20.436 21.124 6.567
196 66 3 0.0 23.401999999999997 19.705 6.454
197 66 1 0.0 24.708 20.14 6.151999999999999
198 66 2 0.0 24.866 21.124 6.567
199 67 3 0.0 1.252 24.134999999999998 6.454
200 67 1 0.0 2.558 24.57 6.151999999999999
201 67 2 0.0 2.716 25.554 6.567
202 68 3 0.0 5.6819999999999995 24.134999999999998 6.454
203 68 1 0.0 6.9879999999999995 24.57 6.151999999999999
204 68 2 0.0 7.146 25.554 6.567
205 69 3 0.0 10.112 24.134999999999998 6.454
206 69 1 0.0 11.418 24.57 6.151999999999999
207 69 2 0.0 11.575999999999999 25.554 6.567
208 70 3 0.0 14.542 24.134999999999998 6.454
209 70 1 0.0 15.847999999999999 24.57 6.151999999999999
210 70 2 0.0 16.006 25.554 6.567
211 71 3 0.0 18.971999999999998 24.134999999999998 6.454
212 71 1 0.0 20.278 24.57 6.151999999999999
213 71 2 0.0 20.436 25.554 6.567
214 72 3 0.0 23.401999999999997 24.134999999999998 6.454
215 72 1 0.0 24.708 24.57 6.151999999999999
216 72 2 0.0 24.866 25.554 6.567
217 73 3 0.0 1.252 1.985 10.883999999999999
218 73 1 0.0 2.558 2.42 10.581999999999999
219 73 2 0.0 2.716 3.404 10.997
220 74 3 0.0 5.6819999999999995 1.985 10.883999999999999
221 74 1 0.0 6.9879999999999995 2.42 10.581999999999999
222 74 2 0.0 7.146 3.404 10.997
223 75 3 0.0 10.112 1.985 10.883999999999999
224 75 1 0.0 11.418 2.42 10.581999999999999
225 75 2 0.0 11.575999999999999 3.404 10.997
226 76 3 0.0 14.542 1.985 10.883999999999999
227 76 1 0.0 15.847999999999999 2.42 10.581999999999999
228 76 2 0.0 16.006 3.404 10.997
229 77 3 0.0 18.971999999999998 1.985 10.883999999999999
230 77 1 0.0 20.278 2.42 10.581999999999999
231 77 2 0.0 20.436 3.404 10.997
232 78 3 0.0 23.401999999999997 1.985 10.883999999999999
233 78 1 0.0 24.708 2.42 10.581999999999999
234 78 2 0.0 24.866 3.404 10.997
235 79 3 0.0 1.252 6.415 10.883999999999999
236 79 1 0.0 2.558 6.85 10.581999999999999
237 79 2 0.0 2.716 7.834 10.997
238 80 3 0.0 5.6819999999999995 6.415 10.883999999999999
239 80 1 0.0 6.9879999999999995 6.85 10.581999999999999
240 80 2 0.0 7.146 7.834 10.997
241 81 3 0.0 10.112 6.415 10.883999999999999
242 81 1 0.0 11.418 6.85 10.581999999999999
243 81 2 0.0 11.575999999999999 7.834 10.997
244 82 3 0.0 14.542 6.415 10.883999999999999
245 82 1 0.0 15.847999999999999 6.85 10.581999999999999
246 82 2 0.0 16.006 7.834 10.997
247 83 3 0.0 18.971999999999998 6.415 10.883999999999999
248 83 1 0.0 20.278 6.85 10.581999999999999
249 83 2 0.0 20.436 7.834 10.997
250 84 3 0.0 23.401999999999997 6.415 10.883999999999999
251 84 1 0.0 24.708 6.85 10.581999999999999
252 84 2 0.0 24.866 7.834 10.997
253 85 3 0.0 1.252 10.844999999999999 10.883999999999999
254 85 1 0.0 2.558 11.28 10.581999999999999
255 85 2 0.0 2.716 12.264 10.997
256 86 3 0.0 5.6819999999999995 10.844999999999999 10.883999999999999
257 86 1 0.0 6.9879999999999995 11.28 10.581999999999999
258 86 2 0.0 7.146 12.264 10.997
259 87 3 0.0 10.112 10.844999999999999 10.883999999999999
260 87 1 0.0 11.418 11.28 10.581999999999999
261 87 2 0.0 11.575999999999999 12.264 10.997
262 88 3 0.0 14.542 10.844999999999999 10.883999999999999
263 88 1 0.0 15.847999999999999 11.28 10.581999999999999
264 88 2 0.0 16.006 12.264 10.997
265 89 3 0.0 18.971999999999998 10.844999999999999 10.883999999999999
266 89 1 0.0 20.278 11.28 10.581999999999999
267 89 2 0.0 20.436 12.264 10.997
268 90 3 0.0 23.401999999999997 10.844999999999999 10.883999999999999
269 90 1 0.0 24.708 11.28 10.581999999999999
270 90 2 0.0 24.866 12.264 10.997
271 91 3 0.0 1.252 15.274999999999999 10.883999999999999
272 91 1 0.0 2.558 15.709999999999999 10.581999999999999
273 91 2 0.0 2.716 16.694 10.997
274 92 3 0.0 5.6819999999999995 15.274999999999999 10.883999999999999
275 92 1 0.0 6.9879999999999995 15.709999999999999 10.581999999999999
276 92 2 0.0 7.146 16.694 10.997
277 93 3 0.0 10.112 15.274999999999999 10.883999999999999
278 93 1 0.0 11.418 15.709999999999999 10.581999999999999
279 93 2 0.0 11.575999999999999 16.694 10.997
280 94 3 0.0 14.542 15.274999999999999 10.883999999999999
281 94 1 0.0 15.847999999999999 15.709999999999999 10.581999999999999
282 94 2 0.0 16.006 16.694 10.997
283 95 3 0.0 18.971999999999998 15.274999999999999 10.883999999999999
284 95 1 0.0 20.278 15.709999999999999 10.581999999999999
285 95 2 0.0 20.436 16.694 10.997
286 96 3 0.0 23.401999999999997 15.274999999999999 10.883999999999999
287 96 1 0.0 24.708 15.709999999999999 10.581999999999999
288 96 2 0.0 24.866 16.694 10.997
289 97 3 0.0 1.252 19.705 10.883999999999999
290 97 1 0.0 2.558 20.14 10.581999999999999
291 97 2 0.0 2.716 21.124 10.997
292 98 3 0.0 5.6819999999999995 19.705 10.883999999999999
293 98 1 0.0 6.9879999999999995 20.14 10.581999999999999
294 98 2 0.0 7.146 21.124 10.997
295 99 3 0.0 10.112 19.705 10.883999999999999
296 99 1 0.0 11.418 20.14 10.581999999999999
297 99 2 0.0 11.575999999999999 21.124 10.997
298 100 3 0.0 14.542 19.705 10.883999999999999
299 100 1 0.0 15.847999999999999 20.14 10.581999999999999
300 100 2 0.0 16.006 21.124 10.997
301 101 3 0.0 18.971999999999998 19.705 10.883999999999999
302 101 1 0.0 20.278 20.14 10.581999999999999
303 101 2 0.0 20.436 21.124 10.997
304 102 3 0.0 23.401999999999997 19.705 10.883999999999999
305 102 1 0.0 24.708 20.14 10.581999999999999
306 102 2 0.0 24.866 21.124 10.997
307 103 3 0.0 1.252 24.134999999999998 10.883999999999999
308 103 1 0.0 2.558 24.57 10.581999999999999
309 103 2 0.0 2.716 25.554 10.997
310 104 3 0.0 5.6819999999999995 24.134999999999998 10.883999999999999
311 104 1 0.0 6.9879999999999995 24.57 10.581999999999999
312 104 2 0.0 7.146 25.554 10.997
313 105 3 0.0 10.112 24.134999999999998 10.883999999999999
314 105 1 0.0 11.418 24.57 10.581999999999999
315 105 2 0.0 11.575999999999999 25.554 10.997
316 106 3 0.0 14.542 24.134999999999998 10.883999999999999
317 106 1 0.0 15.847999999999999 24.57 10.581999999999999
318 106 2 0.0 16.006 25.554 10.997
319 107 3 0.0 18.971999999999998 24.134999999999998 10.883999999999999
320 107 1 0.0 20.278 24.57 10.581999999999999
321 107 2 0.0 20.436 25.554 10.997
322 108 3 0.0 23.401999999999997 24.134999999999998 10.883999999999999
323 108 1 0.0 24.708 24.57 10.581999999999999
324 108 2 0.0 24.866 25.554 10.997
325 109 3 0.0 1.252 1.985 15.313999999999998
326 109 1 0.0 2.558 2.42 15.011999999999999
327 109 2 0.0 2.716 3.404 15.427
328 110 3 0.0 5.6819999999999995 1.985 15.313999999999998
329 110 1 0.0 6.9879999999999995 2.42 15.011999999999999
330 110 2 0.0 7.146 3.404 15.427
331 111 3 0.0 10.112 1.985 15.313999999999998
332 111 1 0.0 11.418 2.42 15.011999999999999
333 111 2 0.0 11.575999999999999 3.404 15.427
334 112 3 0.0 14.542 1.985 15.313999999999998
335 112 1 0.0 15.847999999999999 2.42 15.011999999999999
336 112 2 0.0 16.006 3.404 15.427
337 113 3 0.0 18.971999999999998 1.985 15.313999999999998
338 113 1 0.0 20.278 2.42 15.011999999999999
339 113 2 0.0 20.436 3.404 15.427
340 114 3 0.0 23.401999999999997 1.985 15.313999999999998
341 114 1 0.0 24.708 2.42 15.011999999999999
342 114 2 0.0 24.866 3.404 15.427
343 115 3 0.0 1.252 6.415 15.313999999999998
344 115 1 0.0 2.558 6.85 15.011999999999999
345 115 2 0.0 2.716 7.834 15.427
346 116 3 0.0 5.6819999999999995 6.415 15.313999999999998
347 116 1 0.0 6.9879999999999995 6.85 15.011999999999999
348 116 2 0.0 7.146 7.834 15.427
